Date,Year,Month,"GLD, USD",GLD index,"BTC, USD",BTC index,"IXN, USD",IXN index,"S&P (SPX), USD",S&P index
2019-01-01,2019,1,124.75,1.0,3457.793,1.0,24.817,1.0,2704.1,1.0
2019-02-01,2019,2,123.99,0.994,3854.785,1.115,26.213,1.056,2784.49,1.03
2019-03-01,2019,3,122.01,0.978,4105.404,1.187,27.367,1.103,2834.4,1.048
2019-04-01,2019,4,121.2,0.972,5350.727,1.547,28.979,1.168,2945.83,1.089
2019-05-01,2019,5,123.33,0.989,8574.502,2.48,26.472,1.067,2752.06,1.018
2019-06-01,2019,6,133.2,1.068,10817.155,3.128,28.72,1.157,2941.76,1.088
2019-07-01,2019,7,133.21,1.068,10085.628,2.917,29.539,1.19,2980.38,1.102
2019-08-01,2019,8,143.75,1.152,9630.664,2.785,29.074,1.172,2926.46,1.082
2019-09-01,2019,9,138.87,1.113,8293.868,2.399,29.776,1.2,2976.74,1.101
2019-10-01,2019,10,142.43,1.142,9199.585,2.661,30.93,1.246,3037.56,1.123
2019-11-01,2019,11,137.86,1.105,7569.63,2.189,32.495,1.309,3140.98,1.162
2019-12-01,2019,12,142.9,1.145,7193.599,2.08,33.884,1.365,3230.78,1.195
2020-01-01,2020,1,149.33,1.197,9350.529,2.704,34.863,1.405,3225.52,1.193
2020-02-01,2020,2,148.38,1.189,8599.509,2.487,32.539,1.311,2954.22,1.092
2020-03-01,2020,3,148.05,1.187,6438.645,1.862,29.52,1.19,2584.59,0.956
2020-04-01,2020,4,158.8,1.273,8658.554,2.504,33.309,1.342,2912.43,1.077
2020-05-01,2020,5,162.91,1.306,9461.059,2.736,35.728,1.44,3044.31,1.126
2020-06-01,2020,6,167.37,1.342,9137.993,2.643,38.129,1.536,3100.29,1.147
2020-07-01,2020,7,185.43,1.486,11323.467,3.275,40.727,1.641,3271.12,1.21
2020-08-01,2020,8,184.83,1.482,11680.82,3.378,44.704,1.801,3500.31,1.294
2020-09-01,2020,9,177.12,1.42,10784.491,3.119,42.865,1.727,3363.0,1.244
2020-10-01,2020,10,176.2,1.412,13780.995,3.985,40.732,1.641,3269.96,1.209
2020-11-01,2020,11,166.67,1.336,19625.836,5.676,45.887,1.849,3621.63,1.339
2020-12-01,2020,12,178.36,1.43,29001.721,8.387,48.779,1.966,3756.07,1.389
2021-01-01,2021,1,172.61,1.384,33114.359,9.577,48.838,1.968,3714.24,1.374
2021-02-01,2021,2,161.81,1.297,45137.77,13.054,49.593,1.998,3811.15,1.409
2021-03-01,2021,3,159.96,1.282,58918.832,17.039,50.188,2.022,3972.89,1.469
2021-04-01,2021,4,165.66,1.328,57750.176,16.701,52.586,2.119,4181.17,1.546
2021-05-01,2021,5,178.38,1.43,37332.855,10.797,52.212,2.104,4204.11,1.555
2021-06-01,2021,6,165.63,1.328,35040.836,10.134,55.049,2.218,4297.5,1.589
2021-07-01,2021,7,169.82,1.361,41626.195,12.038,57.122,2.302,4395.26,1.625
2021-08-01,2021,8,169.69,1.36,47166.688,13.641,59.067,2.38,4522.68,1.673
2021-09-01,2021,9,164.22,1.316,43790.895,12.664,55.658,2.243,4307.54,1.593
2021-10-01,2021,10,166.65,1.336,61318.957,17.734,59.391,2.393,4605.38,1.703
2021-11-01,2021,11,165.5,1.327,57005.426,16.486,61.365,2.473,4567.0,1.689
2021-12-01,2021,12,170.96,1.37,46306.445,13.392,63.251,2.549,4766.18,1.763
2022-01-01,2022,1,168.09,1.347,38483.125,11.129,58.639,2.363,4515.55,1.67
2022-02-01,2022,2,178.38,1.43,43193.234,12.492,55.645,2.242,4373.94,1.618
2022-03-01,2022,3,180.65,1.448,45538.676,13.17,57.132,2.302,4530.41,1.675
2022-04-01,2022,4,176.91,1.418,37714.875,10.907,50.514,2.035,4131.93,1.528
2022-05-01,2022,5,171.14,1.372,31792.311,9.194,50.287,2.026,4132.15,1.528
2022-06-01,2022,6,168.46,1.35,19784.727,5.722,45.008,1.814,3785.38,1.4
2022-07-01,2022,7,164.1,1.315,23336.896,6.749,50.886,2.05,4130.29,1.527
2022-08-01,2022,8,159.27,1.277,20049.764,5.798,47.684,1.921,3955.0,1.463
2022-09-01,2022,9,154.67,1.24,19431.789,5.62,41.685,1.68,3585.62,1.326
2022-10-01,2022,10,151.91,1.218,20495.773,5.927,44.887,1.809,3871.98,1.432
2022-11-01,2022,11,164.81,1.321,17168.566,4.965,48.524,1.955,4080.11,1.509
2022-12-01,2022,12,169.64,1.36,16547.496,4.786,44.304,1.785,3839.5,1.42
2023-01-01,2023,1,179.41,1.438,23139.283,6.692,49.189,1.982,4076.6,1.508
2023-02-01,2023,2,169.78,1.361,23147.354,6.694,48.822,1.967,3970.15,1.468
2023-03-01,2023,3,183.22,1.469,28478.484,8.236,53.932,2.173,4109.31,1.52
2023-04-01,2023,4,184.8,1.481,29268.807,8.465,53.674,2.163,4169.48,1.542
2023-05-01,2023,5,182.32,1.461,27219.658,7.872,58.595,2.361,4179.83,1.546
2023-06-01,2023,6,178.27,1.429,30477.252,8.814,61.7,2.486,4450.38,1.646
2023-07-01,2023,7,182.35,1.462,29230.111,8.453,62.996,2.538,4588.96,1.697
2023-08-01,2023,8,180.02,1.443,25931.473,7.499,61.583,2.481,4507.66,1.667
2023-09-01,2023,9,171.45,1.374,26967.916,7.799,57.544,2.319,4288.05,1.586
2023-10-01,2023,10,184.09,1.476,34667.781,10.026,57.504,2.317,4193.8,1.551
2023-11-01,2023,11,188.75,1.513,37712.746,10.907,65.214,2.628,4567.8,1.689
2023-12-01,2023,12,191.17,1.532,42265.188,12.223,67.831,2.733,4769.83,1.764
2024-01-01,2024,1,188.45,1.511,42582.605,12.315,69.749,2.811,4845.65,1.792
2024-02-01,2024,2,189.31,1.518,61198.383,17.699,73.282,2.953,5096.27,1.885
2024-03-01,2024,3,205.72,1.649,71333.648,20.63,74.659,3.008,5254.35,1.943
2024-04-01,2024,4,211.87,1.698,60636.855,17.536,70.338,2.834,5035.69,1.862
2024-05-01,2024,5,215.3,1.726,67491.414,19.519,76.166,3.069,5277.51,1.952
2024-06-01,2024,6,214.72,1.721,68241.188,19.735,82.324,3.317,5421.03,2.005